                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1846,                 4.2275,                  1.278,                0.00033,                 0.0101,                0.00017,                  5e-05,                 2.8644,                 4.0453,                 1.1987,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.9427,                 3.7803,                 1.1786,                 0.0095,                0.28788,                0.00973,                0.00263,                 2.5044,                 3.8251,                 1.0679,             0.00013861,             0.00013861,             0.00013861
                      3,                  2.735,                 2.8428,                 1.0696,                  0.014,                0.42424,                0.02183,                0.00572,                 2.3454,                 3.6884,                 1.0182,             0.00021564,             0.00021564,             0.00021564
                      4,                 2.7052,                 1.9488,                 1.1133,                0.01383,                0.41919,                0.02276,                0.00537,                 2.3556,                 3.5661,                 1.0227,             0.00029109,             0.00029109,             0.00029109
                      5,                  2.579,                 1.8273,                 1.1055,                0.01383,                0.41919,                 0.0212,                0.00517,                 2.3883,                 3.4873,                  1.034,             0.00036495,             0.00036495,             0.00036495
                      6,                 2.5994,                 1.7771,                 1.0984,                0.01317,                0.39899,                0.01796,                0.00429,                 2.4453,                 3.4412,                 1.0457,             0.00043723,             0.00043723,             0.00043723
                      7,                 2.6332,                 1.8027,                  1.084,                0.01317,                0.39899,                0.01866,                0.00504,                 2.5003,                 3.3996,                 1.0585,             0.00050792,             0.00050792,             0.00050792
                      8,                 2.4825,                 1.6709,                 1.1271,                  0.017,                0.51515,                0.02726,                0.00831,                 2.4969,                 3.2795,                 1.0719,             0.00057703,             0.00057703,             0.00057703
                      9,                 2.5503,                  1.701,                 1.0929,                0.01267,                0.38384,                0.01809,                0.00542,                 2.5224,                 3.3641,                 1.0903,             0.00064456,             0.00064456,             0.00064456
                     10,                 2.4972,                 1.5745,                 1.0994,                0.01183,                0.35859,                0.02016,                0.00675,                 2.5333,                 3.3956,                 1.0948,              0.0007105,              0.0007105,              0.0007105
                     11,                 2.4731,                 1.4572,                 1.0639,                0.01183,                0.35859,                0.02859,                0.00645,                 2.6113,                 3.3753,                 1.1239,             0.00077486,             0.00077486,             0.00077486
                     12,                 2.2959,                 1.4111,                 1.0238,                0.00867,                0.26263,                0.01283,                0.00289,                 2.6353,                   3.46,                 1.1326,             0.00083763,             0.00083763,             0.00083763
                     13,                 2.3819,                 1.4057,                  1.079,                0.00917,                0.27778,                0.06283,                0.01468,                 2.7289,                 3.3674,                 1.1541,             0.00089882,             0.00089882,             0.00089882
                     14,                 2.5275,                 1.4398,                 1.0322,                0.01033,                0.31313,                0.08186,                 0.0168,                 2.6374,                 3.3278,                  1.119,             0.00095843,             0.00095843,             0.00095843
                     15,                  2.344,                 1.4284,                 1.0249,                0.01533,                0.46465,                0.09518,                0.02418,                 2.4408,                 3.2244,                 1.0616,              0.0010165,              0.0010165,              0.0010165
                     16,                 2.4687,                 1.3901,                 1.0473,                0.01617,                 0.4899,                0.11197,                0.02728,                 2.4248,                 3.1912,                 1.0564,              0.0010729,              0.0010729,              0.0010729
                     17,                  2.451,                 1.3545,                0.98846,                 0.0165,                    0.5,                0.11229,                0.03225,                 2.4642,                 3.1881,                 1.0607,              0.0011277,              0.0011277,              0.0011277
                     18,                 2.3462,                 1.3335,                 1.0777,                0.01583,                 0.4798,                0.13348,                0.03698,                 2.5963,                 3.1838,                 1.0894,               0.001181,               0.001181,               0.001181
                     19,                 2.4361,                 1.3851,                 1.0333,                0.01417,                0.42929,                0.13474,                0.03657,                  2.578,                 3.2526,                 1.0897,              0.0012327,              0.0012327,              0.0012327
                     20,                 2.3463,                 1.3378,                 1.0331,                0.01417,                0.42929,                0.13231,                0.04107,                 2.5553,                 3.2513,                 1.0868,              0.0012828,              0.0012828,              0.0012828
                     21,                 2.3313,                 1.3828,                 1.0133,                0.80134,                0.07071,                0.20636,                0.06418,                 2.6971,                 2.9332,                 1.1237,              0.0013313,              0.0013313,              0.0013313
                     22,                 2.3627,                 1.2453,                  1.023,                 0.7371,                0.07576,                0.24994,                0.07733,                 2.6559,                   2.77,                 1.1276,              0.0013783,              0.0013783,              0.0013783
                     23,                 2.3376,                 1.2734,                 1.0744,                0.76164,                  0.113,                0.30013,                0.09738,                 2.5757,                 2.6647,                 1.1012,              0.0014236,              0.0014236,              0.0014236
                     24,                  2.359,                 1.2926,                 1.0373,                0.85642,                0.12052,                0.40511,                0.12839,                 2.5006,                 2.5429,                 1.0768,              0.0014674,              0.0014674,              0.0014674
                     25,                 2.4885,                 1.3518,                 1.0351,                 0.8548,                0.11898,                0.41706,                0.14096,                 2.4636,                 2.5264,                 1.0622,              0.0015096,              0.0015096,              0.0015096
                     26,                 2.3287,                 1.3212,                 1.0186,                0.80745,                0.25417,                0.45429,                0.15037,                  2.466,                 2.3782,                 1.0601,               0.001505,               0.001505,               0.001505
                     27,                 2.2655,                 1.2217,                  1.026,                0.72251,                 0.4596,                0.49955,                0.16195,                 2.4571,                 2.0642,                 1.0637,               0.001505,               0.001505,               0.001505
                     28,                 2.2339,                 1.2168,                      1,                0.72387,                0.49495,                 0.5277,                0.16589,                 2.4582,                 1.9222,                 1.0669,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.2742,                 1.2293,                 1.0508,                0.74136,                0.47775,                 0.5131,                0.17097,                 2.4062,                 1.9461,                 1.0513,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.2863,                 1.2228,                 1.0044,                0.60698,                0.41919,                0.41768,                0.14653,                 2.4543,                 2.0611,                 1.0578,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.3196,                  1.234,                 1.0148,                0.63111,                 0.4666,                0.43172,                0.14306,                 2.4921,                 2.0061,                  1.061,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.3699,                 1.2768,                 1.0171,                 0.6569,                0.52525,                0.49381,                0.16052,                 2.4436,                 1.8312,                  1.049,               0.001406,               0.001406,               0.001406
                     33,                 2.2761,                 1.2032,                 1.0069,                0.66511,                0.54545,                0.53397,                0.17296,                 2.4436,                 1.7431,                 1.0472,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.3522,                  1.168,                 1.0259,                0.65749,                 0.5303,                0.51945,                0.17232,                 2.4445,                 1.7622,                 1.0525,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.2283,                 1.1638,                 1.0054,                0.66033,                0.45455,                0.47813,                0.15507,                 2.4814,                 1.8627,                 1.0701,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.1435,                 1.1759,                 1.0164,                0.63501,                 0.4798,                0.48057,                0.15446,                 2.4981,                 1.8866,                 1.0662,              0.0013268,              0.0013268,              0.0013268
                     37,                  2.365,                 1.2938,                 1.0077,                0.61348,                 0.5101,                0.55246,                0.18087,                 2.4497,                 1.7393,                 1.0529,               0.001307,               0.001307,               0.001307
                     38,                 2.2091,                 1.2295,                 1.0291,                0.61821,                0.59699,                0.60223,                0.20167,                 2.3897,                 1.6359,                   1.04,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.1649,                 1.1396,                 1.0195,                  0.605,                0.57071,                0.57176,                0.19688,                 2.3826,                 1.6359,                 1.0366,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.2031,                 1.1449,                0.99892,                 0.6076,                0.60216,                0.59309,                0.20106,                 2.3291,                 1.5974,                 1.0253,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.2131,                 1.1468,                0.98493,                0.64531,                0.61616,                0.63873,                0.22153,                 2.3175,                  1.609,                 1.0175,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.1359,                 1.0661,                0.96855,                0.60913,                0.56566,                0.59223,                 0.2101,                 2.3291,                 1.6496,                 1.0186,               0.001208,               0.001208,               0.001208
                     43,                 2.1051,                 1.1154,                 0.9877,                0.62031,                0.53632,                 0.5868,                0.19088,                 2.3637,                 1.7626,                 1.0325,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.2179,                 1.1333,                0.98203,                0.58781,                0.52578,                0.56191,                0.18684,                  2.353,                 1.8003,                 1.0329,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.2413,                 1.1611,                 0.9711,                0.58902,                0.56061,                0.57234,                 0.1959,                 2.3444,                 1.7455,                 1.0289,              0.0011486,              0.0011486,              0.0011486
