                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1631,                 1.5298,                0.92976,                0.09747,                0.64918,                0.07877,                 0.0294,                 2.1464,                 245.72,                0.96591,             0.00065333,             0.00065333,             0.00065333
                      1,                 2.2267,                0.99082,                0.92734,                0.42832,                0.46872,                0.31454,                0.08542,                 2.5655,                 4.7233,                0.97102,              0.0013069,              0.0013069,              0.0013069
                      2,                 2.2364,                0.97725,                0.93845,                  7e-05,                0.00192,                  3e-05,                  1e-05,                 3.5648,                 1259.8,                 1.2689,              0.0019473,              0.0019473,              0.0019473
                      3,                 2.2672,                0.99771,                  0.941,                0.06963,                0.63763,                0.05951,                0.02179,                 2.2094,                 13.178,                0.93607,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.2173,                0.94954,                0.93325,                0.77808,                0.44081,                0.52624,                0.19965,                 2.2821,                 1.2819,                 1.0038,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1484,                0.90946,                0.91593,                0.86091,                0.76275,                0.84917,                0.34844,                 1.9972,                0.89808,                0.89781,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0989,                0.88474,                0.91137,                0.86837,                0.77671,                 0.8462,                 0.3531,                 1.9989,                0.92726,                0.90333,               0.001901,               0.001901,               0.001901
                      7,                 2.1146,                0.88214,                0.91109,                0.82405,                0.72762,                0.81332,                0.34642,                 1.9339,                 1.6543,                0.89708,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0753,                0.85535,                0.90469,                0.89363,                 0.7589,                0.85174,                0.37405,                 1.9074,                0.93143,                0.89439,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.0302,                0.82867,                0.90491,                 0.8771,                0.82146,                0.88668,                0.37297,                 1.9475,                 0.8328,                0.88828,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0261,                0.82398,                0.89999,                0.87711,                0.83123,                0.89865,                0.40155,                 1.8867,                0.81208,                0.88575,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.008,                0.82337,                0.89884,                0.87975,                0.72177,                0.81818,                0.37492,                 1.8707,                 1.0695,                0.89679,               0.001802,               0.001802,               0.001802
                     12,                 2.0004,                0.81394,                0.90136,                0.91317,                0.83975,                0.90663,                0.40935,                 1.8599,                0.80445,                0.88042,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9881,                0.82286,                 0.8961,                0.93206,                 0.8516,                0.90504,                0.40913,                 1.8625,                0.82111,                0.88636,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.998,                0.81822,                0.89745,                0.89417,                0.81321,                0.88174,                0.38967,                 1.8977,                0.85227,                0.89056,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.9872,                0.81313,                 0.8988,                0.91707,                0.88065,                0.92226,                0.40612,                 1.8634,                0.80817,                0.88497,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9562,                0.79814,                0.88988,                0.89423,                0.86663,                0.90348,                0.40533,                  1.859,                0.79923,                0.88183,               0.001703,               0.001703,               0.001703
                     17,                 2.0084,                0.81538,                0.89485,                0.90145,                0.87153,                0.91119,                0.41147,                 1.8456,                 0.7701,                0.88563,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.9601,                0.80505,                0.89302,                0.90695,                 0.8631,                0.92131,                0.43178,                 1.8112,                0.78903,                0.87906,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.937,                 0.7953,                0.88888,                0.92999,                0.86305,                0.91794,                0.42868,                 1.8022,                0.77174,                0.87847,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.9364,                0.78789,                0.88923,                0.92458,                0.88162,                0.93161,                0.43354,                 1.7893,                0.76486,                 0.8751,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.9611,                0.79963,                0.89218,                0.91058,                0.77424,                0.86546,                0.40041,                 1.8627,                 1.0238,                0.88541,               0.001604,               0.001604,               0.001604
                     22,                 1.9081,                0.78335,                0.88799,                0.89478,                0.80366,                0.88445,                0.41851,                 1.8098,                0.95059,                 0.8812,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.912,                0.77975,                0.89045,                0.91682,                0.83879,                0.90387,                0.42833,                 1.7813,                0.82638,                0.87767,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9525,                0.79406,                0.88768,                0.91885,                 0.8064,                0.88531,                0.41874,                 1.8129,                0.90348,                0.88356,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.915,                0.77514,                0.88759,                0.92134,                0.87777,                0.92615,                0.45163,                 1.7573,                0.78202,                0.87051,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9112,                0.77339,                0.88282,                0.84479,                 0.8434,                0.89265,                0.40736,                 1.8245,                0.82762,                0.88139,               0.001505,               0.001505,               0.001505
                     27,                  1.916,                0.76975,                0.88115,                0.92836,                0.88932,                0.93318,                0.41853,                 1.8566,                0.77792,                 0.8792,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.9086,                0.76977,                0.89006,                0.91905,                0.89124,                0.93585,                 0.4433,                 1.7796,                0.75102,                0.87158,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.911,                0.77179,                0.88278,                0.92838,                0.87953,                0.93263,                0.44996,                 1.7656,                0.75486,                0.87044,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8924,                0.76695,                0.88564,                0.93788,                0.85852,                0.92166,                0.43324,                 1.7981,                 0.7721,                0.87906,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8686,                 0.7539,                0.87738,                0.92772,                0.81527,                0.89431,                0.40208,                 1.8464,                0.86701,                0.88414,               0.001406,               0.001406,               0.001406
                     32,                 1.8754,                0.75646,                0.87809,                0.93025,                0.91131,                0.94703,                0.46394,                 1.7413,                0.72623,                0.87178,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.869,                 0.7446,                0.87894,                0.93127,                0.88674,                0.93672,                0.45464,                 1.7459,                0.74594,                0.87026,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.8754,                0.74678,                0.87319,                0.92576,                0.88787,                0.93379,                0.44009,                 1.7688,                0.75558,                0.86942,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8695,                0.75198,                0.88168,                0.92484,                0.88818,                0.93433,                0.43788,                 1.7877,                0.73862,                0.86998,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8699,                0.74899,                 0.8733,                0.93651,                0.88499,                0.93538,                0.44051,                 1.7925,                0.75938,                0.87315,               0.001307,               0.001307,               0.001307
                     37,                 1.8669,                0.74807,                0.87791,                0.92945,                0.90025,                0.93837,                0.45093,                 1.7707,                0.75038,                0.87238,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8435,                0.75185,                0.88211,                0.93327,                0.88884,                0.93808,                0.45328,                  1.763,                0.74476,                0.86967,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8516,                0.74301,                0.87906,                0.91022,                0.91675,                0.94464,                0.44341,                 1.7722,                0.72134,                0.86919,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8596,                0.74691,                0.87243,                0.94043,                0.90231,                 0.9393,                 0.4573,                 1.7616,                0.74799,                0.87289,              0.0012278,              0.0012278,              0.0012278
